perturbations,include_original,shuffle,loss,lr,weight_decay,batch_size,epochs,training_time,baseline_train_accuracy,baseline_test_accuracy,adversarial_accuracy_eps=0.025,adversarial_accuracy_eps=0.05,adversarial_accuracy_eps=0.075,adversarial_accuracy_eps=0.1
"[[['Laplacian', 0.1], ['RotationFlip', 0.3]], [['Laplacian', 0.1], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,206.9032759666443,0.6852,0.6232,0.4479,0.2933,0.2315,0.1865
"[[['Laplacian', 0.1], ['RotationFlip', 0.3]], [['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,209.2854483127594,0.67542,0.6159,0.437,0.2872,0.2038,0.1757
"[[['Laplacian', 0.1], ['RotationFlip', 0.3]], [['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]], [['Gaussian', 0.1], ['RotationFlip', 0.3]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,219.40713334083557,0.68358,0.6222,0.408,0.2529,0.1851,0.1646
"[[['Laplacian', 0.1], ['RotationFlip', 0.3]], [['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]], [['Gaussian', 0.1], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,227.28920149803162,0.74374,0.6645,0.3922,0.2284,0.1735,0.1513
"[['Lp-norm', 0.5, 2], ['Lp-norm', 0.25, 2]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,83.82730484008789,0.87622,0.7252,0.1901,0.146,0.1332,0.122
"[['Lp-norm', 0.5, 2], ['Lp-norm', 0.25, 2], ['Lp-norm', 0.25, 4]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,93.05016088485718,0.87656,0.7244,0.1875,0.1437,0.1317,0.1245
"[['Lp-norm', 0.5, 2], ['Lp-norm', 0.25, 2], ['Lp-norm', 0.25, 4], ['Lp-norm', 0.25, 1]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,95.4291672706604,0.8604,0.7259,0.1711,0.1307,0.1199,0.1087
"[['Lp-norm', 0.5, 2], ['Lp-norm', 0.25, 2], ['Lp-norm', 0.25, 4], ['Lp-norm', 0.25, 1], ['Lp-norm', 0.25, 3]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,103.81427216529846,0.87314,0.7239,0.1777,0.1369,0.1262,0.1168
"[[['Laplacian', 0.1], ['RotationFlip', 0.3]], ['Lp-norm', 0.5, 2]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,151.612291097641,0.70488,0.6536,0.4128,0.2548,0.2002,0.1707
"[[['Laplacian', 0.1], ['RotationFlip', 0.3]], [['Laplacian', 0.1], ['SaltPepper', 0.05]], ['Lp-norm', 0.5, 2], ['Lp-norm', 0.25, 2]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,204.89632630348206,0.8039,0.6928,0.3026,0.1779,0.1488,0.1372
"[[['Laplacian', 0.1], ['RotationFlip', 0.3]], [['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]], ['Lp-norm', 0.5, 2], ['Lp-norm', 0.25, 2], ['Lp-norm', 0.25, 4]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,221.92210912704468,0.80994,0.6937,0.2958,0.1774,0.1589,0.148
"[[['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,164.45362067222595,0.79048,0.6679,0.3783,0.2068,0.167,0.1593
"[[['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]], [['Gaussian', 0.1], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,172.16495656967163,0.81126,0.6889,0.3444,0.1874,0.1531,0.1356
"[[['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]], [['Gaussian', 0.1], ['SaltPepper', 0.05]], [['Laplacian', 0.05], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,227.39319849014282,0.8342,0.6884,0.3066,0.1797,0.1457,0.1386
"[[['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]], [['Gaussian', 0.1], ['SaltPepper', 0.05]], [['Laplacian', 0.05], ['SaltPepper', 0.05]], [['Laplacian', 0.1], ['RotationFlip', 0.3]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,277.2307765483856,0.8059,0.6913,0.3265,0.1807,0.1556,0.1336
