perturbations,include_original,shuffle,loss,lr,weight_decay,batch_size,epochs,training_time,baseline_train_accuracy,baseline_test_accuracy,adversarial_accuracy_eps=0.025,adversarial_accuracy_eps=0.05,adversarial_accuracy_eps=0.075,adversarial_accuracy_eps=0.1
"[[['Laplacian', 0.1], ['RotationFlip', 0.3]], [['Laplacian', 0.1], ['SaltPepper', 0.05]]]",True,True,CrossEntropyLoss(),0.0001,0.0001,64,20,184.2925283908844,0.75484,0.672,0.3873,0.2132,0.1614,0.1477
"[[['Laplacian', 0.1], ['RotationFlip', 0.3]], [['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]]]",True,True,CrossEntropyLoss(),0.0001,0.0001,64,20,199.34770965576172,0.74144,0.6641,0.3923,0.222,0.1693,0.1486
"[[['Laplacian', 0.1], ['RotationFlip', 0.3]], [['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]], [['Gaussian', 0.1], ['RotationFlip', 0.3]]]",True,True,CrossEntropyLoss(),0.0001,0.0001,64,20,206.39597034454346,0.73762,0.6553,0.3696,0.2233,0.1697,0.1609
"[[['Laplacian', 0.1], ['RotationFlip', 0.3]], [['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]], [['Gaussian', 0.1], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]]]",True,True,CrossEntropyLoss(),0.0001,0.0001,64,20,210.0063033103943,0.76926,0.6752,0.3276,0.197,0.1628,0.1405
"[['Lp-norm', 0.5, 2], ['Lp-norm', 0.25, 2]]",True,True,CrossEntropyLoss(),0.0001,0.0001,64,20,82.13929343223572,0.86176,0.7259,0.1654,0.128,0.1138,0.1018
"[['Lp-norm', 0.5, 2], ['Lp-norm', 0.25, 2], ['Lp-norm', 0.25, 4]]",True,True,CrossEntropyLoss(),0.0001,0.0001,64,20,81.16798114776611,0.87374,0.723,0.1895,0.1447,0.1322,0.1228
"[['Lp-norm', 0.5, 2], ['Lp-norm', 0.25, 2], ['Lp-norm', 0.25, 4], ['Lp-norm', 0.25, 1]]",True,True,CrossEntropyLoss(),0.0001,0.0001,64,20,89.69455766677856,0.88718,0.7281,0.1818,0.1382,0.1264,0.1136
"[['Lp-norm', 0.5, 2], ['Lp-norm', 0.25, 2], ['Lp-norm', 0.25, 4], ['Lp-norm', 0.25, 1], ['Lp-norm', 0.25, 3]]",True,True,CrossEntropyLoss(),0.0001,0.0001,64,20,95.60471415519714,0.87482,0.7235,0.1844,0.1421,0.1295,0.1147
"[[['Laplacian', 0.1], ['RotationFlip', 0.3]], ['Lp-norm', 0.5, 2]]",True,True,CrossEntropyLoss(),0.0001,0.0001,64,20,133.1327018737793,0.77704,0.6981,0.3338,0.1857,0.1403,0.1321
"[[['Laplacian', 0.1], ['RotationFlip', 0.3]], [['Laplacian', 0.1], ['SaltPepper', 0.05]], ['Lp-norm', 0.5, 2], ['Lp-norm', 0.25, 2]]",True,True,CrossEntropyLoss(),0.0001,0.0001,64,20,194.6463725566864,0.8302,0.7057,0.2741,0.1624,0.1402,0.1358
"[[['Laplacian', 0.1], ['RotationFlip', 0.3]], [['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]], ['Lp-norm', 0.5, 2], ['Lp-norm', 0.25, 2], ['Lp-norm', 0.25, 4]]",True,True,CrossEntropyLoss(),0.0001,0.0001,64,20,210.1992335319519,0.83634,0.696,0.2625,0.1606,0.143,0.1365
"[[['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]]]",True,True,CrossEntropyLoss(),0.0001,0.0001,64,20,149.7066032886505,0.83536,0.7021,0.3082,0.1666,0.138,0.1303
"[[['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]], [['Gaussian', 0.1], ['SaltPepper', 0.05]]]",True,True,CrossEntropyLoss(),0.0001,0.0001,64,20,159.5630795955658,0.82932,0.6874,0.2837,0.1664,0.1468,0.1431
"[[['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]], [['Gaussian', 0.1], ['SaltPepper', 0.05]], [['Laplacian', 0.05], ['SaltPepper', 0.05]]]",True,True,CrossEntropyLoss(),0.0001,0.0001,64,20,211.33956360816956,0.85986,0.7075,0.2692,0.1537,0.1375,0.1254
"[[['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]], [['Gaussian', 0.1], ['SaltPepper', 0.05]], [['Laplacian', 0.05], ['SaltPepper', 0.05]], [['Laplacian', 0.1], ['RotationFlip', 0.3]]]",True,True,CrossEntropyLoss(),0.0001,0.0001,64,20,262.84348034858704,0.83506,0.7015,0.3001,0.1644,0.1463,0.1327
