perturbations,include_original,shuffle,loss,lr,weight_decay,batch_size,epochs,training_time,baseline_train_accuracy,baseline_test_accuracy,adversarial_accuracy_eps=0.025,adversarial_accuracy_eps=0.05,adversarial_accuracy_eps=0.075,adversarial_accuracy_eps=0.1
"[[['Laplacian', 0.1], ['RotationFlip', 0.3]], [['Laplacian', 0.1], ['SaltPepper', 0.05]]]",False,False,CrossEntropyLoss(),0.0001,0.0001,64,20,207.54963207244873,0.75774,0.6606,0.46,0.2627,0.1989,0.1678
"[[['Laplacian', 0.1], ['RotationFlip', 0.3]], [['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]]]",False,False,CrossEntropyLoss(),0.0001,0.0001,64,20,212.99462246894836,0.76216,0.6614,0.4389,0.2447,0.1869,0.1608
"[[['Laplacian', 0.1], ['RotationFlip', 0.3]], [['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]], [['Gaussian', 0.1], ['RotationFlip', 0.3]]]",False,False,CrossEntropyLoss(),0.0001,0.0001,64,20,222.55142974853516,0.76168,0.6595,0.4294,0.2442,0.1803,0.1581
"[[['Laplacian', 0.1], ['RotationFlip', 0.3]], [['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]], [['Gaussian', 0.1], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]]]",False,False,CrossEntropyLoss(),0.0001,0.0001,64,20,236.64641213417053,0.80356,0.6753,0.3566,0.1845,0.1544,0.1417
"[['Lp-norm', 0.5, 2], ['Lp-norm', 0.25, 2]]",False,False,CrossEntropyLoss(),0.0001,0.0001,64,20,84.7902352809906,0.88184,0.733,0.1803,0.1351,0.1225,0.1119
"[['Lp-norm', 0.5, 2], ['Lp-norm', 0.25, 2], ['Lp-norm', 0.25, 4]]",False,False,CrossEntropyLoss(),0.0001,0.0001,64,20,94.64103841781616,0.85082,0.713,0.1874,0.1408,0.1266,0.1121
"[['Lp-norm', 0.5, 2], ['Lp-norm', 0.25, 2], ['Lp-norm', 0.25, 4], ['Lp-norm', 0.25, 1]]",False,False,CrossEntropyLoss(),0.0001,0.0001,64,20,92.02383756637573,0.86612,0.7256,0.179,0.1316,0.1197,0.1081
"[['Lp-norm', 0.5, 2], ['Lp-norm', 0.25, 2], ['Lp-norm', 0.25, 4], ['Lp-norm', 0.25, 1], ['Lp-norm', 0.25, 3]]",False,False,CrossEntropyLoss(),0.0001,0.0001,64,20,102.45453977584839,0.8872,0.7338,0.1846,0.1353,0.1236,0.1122
"[[['Laplacian', 0.1], ['RotationFlip', 0.3]], ['Lp-norm', 0.5, 2]]",False,False,CrossEntropyLoss(),0.0001,0.0001,64,20,150.55130648612976,0.85292,0.6992,0.231,0.1486,0.1325,0.1236
"[[['Laplacian', 0.1], ['RotationFlip', 0.3]], [['Laplacian', 0.1], ['SaltPepper', 0.05]], ['Lp-norm', 0.5, 2], ['Lp-norm', 0.25, 2]]",False,False,CrossEntropyLoss(),0.0001,0.0001,64,20,209.00390124320984,0.86512,0.7008,0.2172,0.1483,0.1334,0.1263
"[[['Laplacian', 0.1], ['RotationFlip', 0.3]], [['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]], ['Lp-norm', 0.5, 2], ['Lp-norm', 0.25, 2], ['Lp-norm', 0.25, 4]]",False,False,CrossEntropyLoss(),0.0001,0.0001,64,20,233.3668134212494,0.8478,0.6882,0.2239,0.1532,0.1388,0.1269
"[[['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]]]",False,False,CrossEntropyLoss(),0.0001,0.0001,64,20,158.57845425605774,0.798,0.675,0.3986,0.2158,0.1674,0.1514
"[[['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]], [['Gaussian', 0.1], ['SaltPepper', 0.05]]]",False,False,CrossEntropyLoss(),0.0001,0.0001,64,20,167.2802975177765,0.81486,0.6874,0.3298,0.1835,0.1478,0.1377
"[[['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]], [['Gaussian', 0.1], ['SaltPepper', 0.05]], [['Laplacian', 0.05], ['SaltPepper', 0.05]]]",False,False,CrossEntropyLoss(),0.0001,0.0001,64,20,235.49231696128845,0.84168,0.6883,0.3042,0.1755,0.1509,0.1448
"[[['Laplacian', 0.1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]], [['Gaussian', 0.1], ['SaltPepper', 0.05]], [['Laplacian', 0.05], ['SaltPepper', 0.05]], [['Laplacian', 0.1], ['RotationFlip', 0.3]]]",False,False,CrossEntropyLoss(),0.0001,0.0001,64,20,298.9005603790283,0.82034,0.6884,0.2971,0.1723,0.1464,0.1359
