channel_widths,linear_sizes,kernel,pooling,perturbations,include_original,shuffle,loss,lr,batch_size,epochs,baseline_accuracy,adversarial_accuracy[0.1-0.4epsilon]
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))",[],True,True,CrossEntropyLoss(),0.0001,64,50,0.3082,"[0.0338, 0.0163, 0.0133, 0.0083]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Gaussian', 0.1]]",False,True,CrossEntropyLoss(),0.0001,64,50,0.2969,"[0.0491, 0.0216, 0.0125, 0.0088]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Gaussian', 0.2]]",False,True,CrossEntropyLoss(),0.0001,64,50,0.2638,"[0.0787, 0.0312, 0.0192, 0.0133]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Laplacian', 0.1]]",False,True,CrossEntropyLoss(),0.0001,64,50,0.2682,"[0.0583, 0.0265, 0.0171, 0.0107]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Laplacian', 0.2]]",False,True,CrossEntropyLoss(),0.0001,64,50,0.2254,"[0.0906, 0.0376, 0.0228, 0.0127]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Lp-norm', 1, 1]]",False,True,CrossEntropyLoss(),0.0001,64,50,0.317,"[0.0344, 0.0167, 0.0127, 0.007]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Lp-norm', 1, 2]]",False,True,CrossEntropyLoss(),0.0001,64,50,0.3234,"[0.0332, 0.0179, 0.0129, 0.0093]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Lp-norm', 1, 3]]",False,True,CrossEntropyLoss(),0.0001,64,50,0.3057,"[0.0355, 0.0163, 0.0108, 0.0081]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Lp-norm', 1, 4]]",False,True,CrossEntropyLoss(),0.0001,64,50,0.3076,"[0.0388, 0.0184, 0.0118, 0.0081]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Lp-norm', 1, 5]]",False,True,CrossEntropyLoss(),0.0001,64,50,0.2959,"[0.0413, 0.0164, 0.0117, 0.0076]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Lp-norm', 1, inf]]",False,True,CrossEntropyLoss(),0.0001,64,50,0.2448,"[0.0879, 0.0369, 0.0226, 0.0134]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Gaussian', 0.1], ['Laplacian', 0.1]]",False,True,CrossEntropyLoss(),0.0001,64,50,0.2982,"[0.0493, 0.0193, 0.014, 0.0091]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Gaussian', 0.2], ['Laplacian', 0.2]]",False,True,CrossEntropyLoss(),0.0001,64,50,0.2636,"[0.0674, 0.0263, 0.0149, 0.0105]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Lp-norm', 1, 1], ['Lp-norm', 1, 2], ['Lp-norm', 1, 3], ['Lp-norm', 1, 4], ['Lp-norm', 1, 5], ['Lp-norm', 1, inf]]",False,True,CrossEntropyLoss(),0.0001,64,50,0.3327,"[0.0311, 0.014, 0.0093, 0.0068]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Gaussian', 0.1], ['Laplacian', 0.1], ['Lp-norm', 1, 2]]",False,True,CrossEntropyLoss(),0.0001,64,50,0.317,"[0.0434, 0.0196, 0.0138, 0.0104]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Gaussian', 0.2], ['Laplacian', 0.2], ['Lp-norm', 1, 2]]",False,True,CrossEntropyLoss(),0.0001,64,50,0.2799,"[0.0536, 0.0246, 0.0164, 0.0093]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Gaussian', 0.1], ['Laplacian', 0.1], ['Lp-norm', 1, 4]]",False,True,CrossEntropyLoss(),0.0001,64,50,0.3143,"[0.0401, 0.0173, 0.0121, 0.0067]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Gaussian', 0.2], ['Laplacian', 0.2], ['Lp-norm', 1, 4]]",False,True,CrossEntropyLoss(),0.0001,64,50,0.3013,"[0.0487, 0.0196, 0.0121, 0.0073]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Gaussian', 0.1], ['Laplacian', 0.1], ['Gaussian', 0.2], ['Laplacian', 0.2], ['Lp-norm', 1, 1], ['Lp-norm', 1, 2], ['Lp-norm', 1, 3], ['Lp-norm', 1, 4], ['Lp-norm', 1, 5], ['Lp-norm', 1, inf]]",False,True,CrossEntropyLoss(),0.0001,64,50,0.3102,"[0.0347, 0.0155, 0.0111, 0.008]"
