channel_widths,linear_sizes,kernel,pooling,perturbations,include_original,shuffle,loss,lr,batch_size,epochs,training_time,baseline_accuracy,adversarial_accuracy[eps=0.025/0.05/0.075/0.1]
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))",[],TRUE,TRUE,CrossEntropyLoss(),0.0001,64,100,524,0.3732,"[0.0948, 0.0619, 0.0439, 0.0331]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Gaussian', 0.025]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,64,100,538,0.3617,"[0.1122, 0.0670, 0.0467, 0.0336]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Gaussian', 0.05]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,64,100,540,0.3534,"[0.1383, 0.0826, 0.0546, 0.0392]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[[['Gaussian', 0.05], ['ContrastBrightness', 0.9, 0.9]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,64,100,547.7024054527283,0.2253,"[0.1569, 0.1235, 0.1096, 0.0954]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[[['Gaussian', 0.05], ['RotationFlip', 0.3]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,64,100,544.7114560604095,0.3341,"[0.2141, 0.1247, 0.078, 0.0527]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[[['Gaussian', 0.05], ['SaltPepper', 0.05]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,64,100,554.6939740180969,0.3272,"[0.2205, 0.1334, 0.0921, 0.0694]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Laplacian', 0.025]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,64,100,728.2032270431519,0.3721,"[0.1222, 0.0714, 0.051, 0.0368]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Laplacian', 0.05]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,64,100,729.4358289241791,0.3537,"[0.1609, 0.0927, 0.0627, 0.0448]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[[['Laplacian', 0.05], ['ContrastBrightness', 0.9, 0.9]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,64,100,750.4908287525177,0.2111,"[0.1704, 0.1177, 0.1045, 0.0977]"
"[3, 50, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[[['Laplacian', 0.05], ['RotationFlip', 0.3]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,64,100,754.7003469467163,0.3247,"[0.2315, 0.1374, 0.0877, 0.0604]"
