channel_widths,linear_sizes,kernel,pooling,perturbations,include_original,shuffle,loss,lr,batch_size,epochs,baseline_accuracy,adversarial_accuracy
"[3, 50, 100, 150, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))",[],True,True,CrossEntropyLoss(),0.0001,64,100,0.7112,"[0.1513, 0.1384, 0.1272, 0.113]"
"[3, 50, 100, 150, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Gaussian', 0.025]]",False,True,CrossEntropyLoss(),0.0001,64,100,0.7177,"[0.1552, 0.136, 0.1227, 0.11]"
"[3, 50, 100, 150, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Gaussian', 0.05]]",False,True,CrossEntropyLoss(),0.0001,64,100,0.7195,"[0.1988, 0.1363, 0.1252, 0.1138]"
"[3, 50, 100, 150, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[[['Gaussian', 0.05], ['ContrastBrightness', 0.9, 0.9]]]",False,True,CrossEntropyLoss(),0.0001,64,100,0.5629,"[0.368, 0.2774, 0.26, 0.2591]"
"[3, 50, 100, 150, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[[['Gaussian', 0.05], ['RotationFlip', 0.3]]]",False,True,CrossEntropyLoss(),0.0001,64,100,0.6668,"[0.4445, 0.3101, 0.2353, 0.1995]"
"[3, 50, 100, 150, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[[['Gaussian', 0.05], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,64,100,0.676,"[0.403, 0.2209, 0.164, 0.1475]"
"[3, 50, 100, 150, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Laplacian', 0.025]]",False,True,CrossEntropyLoss(),0.0001,64,100,0.72,"[0.1726, 0.1362, 0.1187, 0.1131]"
"[3, 50, 100, 150, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[['Laplacian', 0.05]]",False,True,CrossEntropyLoss(),0.0001,64,100,0.7115,"[0.2807, 0.1515, 0.1301, 0.1233]"
"[3, 50, 100, 150, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[[['Laplacian', 0.05], ['ContrastBrightness', 0.9, 0.9]]]",False,True,CrossEntropyLoss(),0.0001,64,100,0.5393,"[0.3936, 0.3058, 0.2911, 0.2606]"
"[3, 50, 100, 150, 100, 50]","[50, 100]",3,"AdaptiveMaxPool2d(output_size=(2, 2))","[[['Laplacian', 0.05], ['RotationFlip', 0.3]]]",False,True,CrossEntropyLoss(),0.0001,64,100,0.6407,"[0.4566, 0.3277, 0.2562, 0.2092]"
