model,layers,perturbations,include_original,shuffle,loss,lr,batch_size,epochs,training_time,baseline_accuracy,adversarial_accuracy
REPResNet-50,"[3, 4, 5, 3]",[],TRUE,TRUE,CrossEntropyLoss(),0.001,128,50,350.0729911,0.7546,"[0.1994, 0.1427, 0.1314, 0.1216]"
REPResNet-50,"[3, 4, 5, 3]","[['Laplacian', 0.05], ['Lp-norm', 0.5, 1]]",FALSE,TRUE,CrossEntropyLoss(),0.001,128,50,371.0787184,0.7484,"[0.2369, 0.1515, 0.1391, 0.1196]"
REPResNet-50,"[3, 4, 5, 3]","[['Gaussian', 0.05]]",FALSE,TRUE,CrossEntropyLoss(),0.001,128,50,346.9145067,0.7465,"[0.2922, 0.1659, 0.1441, 0.1307]"
REPResNet-50,"[3, 4, 5, 3]","[['Lp-norm', 0.5, 4]]",FALSE,TRUE,CrossEntropyLoss(),0.001,128,50,348.9328151,0.7463,"[0.2228, 0.1523, 0.1329, 0.1279]"
REPResNet-50,"[3, 4, 5, 3]","[['Gaussian', 0.05], ['Laplacian', 0.05]]",FALSE,TRUE,CrossEntropyLoss(),0.001,128,50,370.9503708,0.7452,"[0.2745, 0.1701, 0.1512, 0.1404]"
REPResNet-50,"[3, 4, 5, 3]","[['Lp-norm', 0.5, 1]]",FALSE,TRUE,CrossEntropyLoss(),0.001,128,50,347.1310587,0.7429,"[0.2103, 0.1501, 0.1352, 0.127]"
REPResNet-50,"[3, 4, 5, 3]","[['Gaussian', 0.025]]",FALSE,TRUE,CrossEntropyLoss(),0.001,128,50,352.4608045,0.7415,"[0.2389, 0.1548, 0.1427, 0.1307]"
REPResNet-50,"[3, 4, 5, 3]","[['Lp-norm', 0.5, 1], ['Lp-norm', 0.5, 2]]",FALSE,TRUE,CrossEntropyLoss(),0.001,128,50,355.8192184,0.7406,"[0.2027, 0.1435, 0.1272, 0.1165]"
REPResNet-50,"[3, 4, 5, 3]","[[['Laplacian', 0.05], ['RotationFlip', 0.3]]]",FALSE,TRUE,CrossEntropyLoss(),0.001,128,50,361.2976732,0.7386,"[0.7006, 0.2251, 0.1967, 0.1743]"
REPResNet-50,"[3, 4, 5, 3]","[['Lp-norm', 0.5, inf]]",FALSE,TRUE,CrossEntropyLoss(),0.001,128,50,348.4916143,0.735,"[0.3968, 0.2022, 0.1458, 0.1288]"
